EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5131031,LEFLORE CO.,SCHLATER,01/03/2000,1215,Tornado, ,F1,0,0,45000,0,MS,CST, ,1090744,C,83,JAN,0,0,EMERGENCY MANAGER, ,3,150,1,SW,2,NE,SCHLATER,33.63,-90.37,33.67,-90.33,"This weak tornado nearly destroyed a mobile home and a barn. Numerous trees were snapped off or blown down.","",1
5129620,YALOBUSHA CO.,WATER VLY,01/03/2000,1330,Tornado, ,F2,0,0,100000,0,MS,CST, ,1090549,C,161,MEG,0,0,NWS STORM SURVEY, ,2.2,300,5,E,7,NE,WATER VLY,34.17,-89.55,34.23,-89.55,"The tornado first developed just south of Highway 315 in the community of Hawkins Crossing and moved northeast across the northeast corner of Yalobusha county. The tornado continued into southwest Lafayette county and continued to travel northeast ending in Union county. One home was blown three feet off its foundation with only the west facing wall left standing. Two mobile homes were completely destroyed. Nine other homes and one barn recieved moderate to extensive damage.","",2
5129728,LAFAYETTE CO.,PARIS,01/03/2000,1340,Tornado, ,F2,0,3,100000,0,MS,CST, ,1090549,C,71,MEG,0,0,NWS STORM SURVEY, ,21,150,3,W,5,N,LAFAYETTE SPGS,34.18,-89.52,34.37,-89.27,"The tornado first developed just south of Highway 315 in the community of Hawkins Crossing and moved northeast across the northeast corner of Yalobusha county. The tornado continued into southwest Lafayette county and continued to travel northeast ending in Union county. In the town of Paris in the southwest part of the county, a frame house was lifted off its foundation with the back end of the house completely blown out. One person in the house was injured. A nearby house under construction was severly damaged. Several other homes in the area received minor damage and numerous trees were snapped or uprooted.  The tornado also produced some damage in the towns of Denmark and Lafayette Springs.","",3
5129729,UNION CO.,PINEDALE,01/03/2000,1400,Tornado, ,F3,0,4,250000,0,MS,CST, ,1090549,C,145,MEG,0,0,NWS STORM SURVEY, ,20,600,4,SW,3,NE,MYRTLE,34.37,-89.25,34.60,-89.08,"The tornado first developed just south of Highway 315 in the community of Hawkins Crossing and moved northeast across the northeast corner of Yalobusha county. The tornado continued into southwest Lafayette county and continued to travel northeast ending in Union county. In the town of Pinedale in southwest Union county, a new brick and vinyl siding home was obliterated. The debris extended up to 400 yards where a large freezer landed in a lake. A nearby pickup truck was rolled 20 yards and sustained extensive damage. Trees two to three feet in diameter were completely uprooted. In the town of Enterprise, a mobile home was completely destroyed and a conventional home sustained severe damage. Four other homes received extensive structural damage. The West Union School had minor roof damage and had numerous windows blown out.  In the town of Myrtle, two mobile homes were destroyed and another mobile home was flipped on its side. In all, more than 60 homes were damaged in Union county.","",4
5131040,JASPER CO.,GARLANDVILLE,01/03/2000,1729,Tornado, ,F2,0,0,125000,0,MS,CST, ,1090753,C,61,JAN,0,0,EMERGENCY MANAGER, ,4,300,3,SW,1,NE,GARLANDVILLE,32.18,-89.15,32.23,-89.10,"This strong tornado nearly destroyed a cinder-block convenience store. One house received major damage as its roof was thrown about fifty yards away. A mobile home was blown off of its foundation and thrown about fifty yards into adjacent woods where it was left in total destruction. Several barns and sheds were either destroyed or received major damage. Several hundred trees were either blown down or snapped off.  There were no injuries or fatalities.  The tornado left north central Jasper County and  moved into south central Newton County.","",5
5132822,NEWTON CO.,NEWTON,01/03/2000,1733,Tornado, ,F1,0,0,40000,0,MS,CST, ,1090754,C,101,JAN,0,0,NWS STORM SURVEY, ,2,120,8,S,9,SE,NEWTON,32.18,-89.17,32.22,-89.05,"This tornado move into south central Newton County from north central Jasper County. It caused significant damage to a few barns. Numerous trees were blown down.","",6
5132066,WILKINSON CO.,WOODVILLE,01/03/2000,1821,Tornado, ,F0,0,0,500,0,MS,CST, ,1091245,C,157,LIX,0,0,LAW ENFORCEMENT, ,.1,25,2,E,2,E,WOODVILLE,31.10,-91.27,31.10,-91.27,"A tornado briefly touched down just east of Woodville along Highway 24 knocking down several trees.","",7
5133812,MARSHALL CO.,MT PLEASANT,02/18/2000,1614,Tornado, ,F0,0,0,0,0,MS,CST, ,1091763,C,93,MEG,0,0,LAW ENFORCEMENT, ,1,25,3,N,2,N,MT PLEASANT,35.00,-89.52,34.98,-89.52,"A tornado briefly touched down producing little damage.","",8
5134744,GRENADA CO.,HARDY,02/18/2000,1715,Tornado, ,F0,0,0,5000,0,MS,CST, ,1091892,C,43,JAN,0,0,EMERGENCY MANAGER, ,1,40, , , , ,HARDY,33.88,-89.85,33.88,-89.85,"Several trees were blown down by this weak tornado.","",9
5133814,YALOBUSHA CO.,SCOBEY,02/18/2000,1719,Tornado, ,F0,0,0,0,0,MS,CST, ,1091763,C,161,MEG,0,0,AMATEUR RADIO, ,1,25, , ,1,NE,SCOBEY,33.93,-89.88,33.95,-89.87,"A tornado briefly touched down producing little damage.","",10
5133817,ALCORN CO.,KENDRICK,02/18/2000,1815,Tornado, ,F0,0,0,0,0,MS,CST, ,1091763,C,3,MEG,0,0,EMERGENCY MANAGER, ,1,25, , , , ,KENDRICK,34.97,-88.38,34.97,-88.38,"A tornado briefly touched down producing little damage.","",11
5134749,LOWNDES CO.,GOLDEN TRIANGLE RGNL,02/18/2000,2025,Tornado, ,F0,0,0,0,0,MS,CST, ,1091892,C,87,JAN,0,0,STORM CHASER, ,1,40,2,W,2,W,GOLDEN TRIANGLE RGNL,33.45,-88.62,33.45,-88.62,"This tornado passed through open field and no damage was reported.","",12
5137134,GREENE CO.,AVERA,03/03/2000,1800,Tornado, ,F0,0,0,12000,0,MS,CST, ,1092292,C,41,MOB,0,0,NWS STORM SURVEY, ,6,30,4,SE,2,E,JONATHAN,31.27,-88.70,31.22,-88.62,"An F0 tornado, about thirty yards wide, moved along at near  tree top level for about six miles.  The tornado first touched down near State Highway 63 southeast of Avera where a mobile home that was tied down was shifted off its blocks.  A pump house was destroyed and the tops of a couple of trees were snapped at the same location.  The torando then moved east, passing near Jonathan, then lifting back into the clouds about two miles east of Jonathan.  Most of the damage  along this track was to trees.  The tornado first touched down  around 600 pm.  Large hail also occurred.","",13
5140619,NESHOBA CO.,PHILADELPHIA,04/02/2000,1730,Tornado, ,F0,0,0,5000,0,MS,CST, ,1093929,C,99,JAN,0,0,EMERGENCY MANAGER, ,1,50,5,N,5,N,PHILADELPHIA,32.83,-89.12,32.83,-89.12,"This weak tornado blew down trees.","",14
5142579,PIKE CO.,MAGNOLIA,04/03/2000,800,Tornado, ,F0,0,0,20000,0,MS,CST, ,1094405,C,113,LIX,0,0,EMERGENCY MANAGER, ,.2,25,1,SE,1,SE,MAGNOLIA,31.13,-90.45,31.13,-90.45,"A tornado touched down briefly knocking down numerous trees including some which fell on houses.","",15
5160834,STONE CO.,WIGGINS,04/24/2000,145,Tornado, ,F0,0,0,30000,0,MS,CST, ,1104511,C,131,MOB,0,0,NWS STORM SURVEY, ,2,50, , , , ,WIGGINS,30.85,-89.13,30.85,-89.13,"It was found from a National Weather Service Storm Survey that two different tornadoes of similar strength, width and distance, tracked east and southeast of Wiggins, MS.  (See April 00 Storm Data)  The first began in Wiggins near State Highways 29 and 26.  The tornado moved northeast crossing State Highway 26 near 4th Street, then moved across Clubhouse Drive and went back into the clouds near McGregor and Big Four Roads.  The tornado was a F0, about 50 yards wide and traveled mostly at tree top level, a distance of approximately 2 miles.  Almost all of the damage was to trees, except at 4th Street and State Highway 26, where an auto parts store had its windows blown out by debris.  High winds then pushed one side of the cinder block store over.  An old building near the store, that had been vacant for some time, was blown over.","",16
5143382,STONE CO.,WIGGINS,04/24/2000,150,Tornado, ,F0,0,0,15000,0,MS,CST, ,1093766,C,131,MOB,0,0,NWS STORM SURVEY, ,3.5,50,2,SE,4,E,WIGGINS,30.83,-89.12,30.85,-89.07,"The second tornado began near King Bee Road just west of  Big Level.  This tornado also moved northeast, moving across Bond Lott Cemetery and John Willis Roads before lifting back into the clouds near Big Four Road and State Highway 26, near Whites Crossing.  As with the first tornado, the track was at tree top level, with damage primarily to trees, except near State Highway 26.  Here a business had some tin blown off its sides and roof.  Some of the tin blew into a field  where a vehicle was damaged and two cows were killed.  This tornado was a F0, was about 50 yards wide, and traveled 3.5 miles.  No injuries were reported.","",17
5173362,JACKSON CO.,PASCAGOULA JCKSN ARP,07/16/2000,1820,Tornado, ,F0,0,0,0,0,MS,CST, ,1100672,C,59,LIX,0,0,LAW ENFORCEMENT, ,.1,20, , , , ,PASCAGOULA JCKSN ARP,30.38,-88.50,30.38,-88.50,"A small tornado briefly touched down near the Pacagoula Jackson Airport resulting in no damage.","",18
5173363,HANCOCK CO.,KILN,07/16/2000,1832,Tornado, ,F0,0,0,0,0,MS,CST, ,1100673,C,45,LIX,0,0,LAW ENFORCEMENT, ,.1,20,5,ENE,5,ENE,KILN,30.45,-89.35,30.45,-89.35,"A small tornado briefly touched down near Kiln-Delisle Road causing no damage.","",19
5173865,HANCOCK CO.,DIAMONDHEAD ARPT,07/22/2000,1533,Tornado, ,F0,0,0,750,0,MS,CST, ,1100695,C,45,LIX,0,0,LAW ENFORCEMENT, ,.1,20, , , , ,DIAMONDHEAD ARPT,30.37,-89.37,30.37,-89.37,"A small tornado briefly touched down near Diamondhead knocking down trees and power lines.","",20
